subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s060,5,15,0.10510563850402832,0.2682781219482422,0.16317248344421387,0.09454226493835449,0.12665891647338867,0.03211665153503418,0.06730127334594727,0.07330012321472168,0.005998849868774414,0.08443760871887207,0.2156212329864502,0.13118362426757812,0.08223128318786621,0.38972949981689453,0.3074982166290283,0.2151775360107422,0.32257747650146484,0.10739994049072266,0.09211969375610352,0.19951963424682617,0.10892605781555176,0.09125661849975586,0.12141942977905273,0.030162811279296875,0.08753609657287598,0.11421608924865723,0.02667999267578125,0.09637951850891113,0.16675734519958496,0.07037782669067383,0.07992100715637207
s060,5,16,0.09764575958251953,0.23083162307739258,0.13318586349487305,0.10502266883850098,0.14602899551391602,0.04100632667541504,0.10307455062866211,0.10506582260131836,0.00199127197265625,0.08283638954162598,0.2328815460205078,0.15004515647888184,0.10698080062866211,0.36623430252075195,0.25925350189208984,0.18110418319702148,0.32298779487609863,0.14188361167907715,0.07132816314697266,0.2132117748260498,0.1107630729675293,0.09071159362792969,0.14122819900512695,0.050516605377197266,0.08449864387512207,0.11110854148864746,0.02660989761352539,0.09531879425048828,0.14849257469177246,0.05317378044128418,0.07588052749633789
s060,5,17,0.08101010322570801,0.2653849124908447,0.18437480926513672,0.10836362838745117,0.11911225318908691,0.010748624801635742,0.07730746269226074,0.08732843399047852,0.010020971298217773,0.08833527565002441,0.20572233200073242,0.11738705635070801,0.08728861808776855,0.3075840473175049,0.22029542922973633,0.19691896438598633,0.24542975425720215,0.04851078987121582,0.11023473739624023,0.12014555931091309,0.009910821914672852,0.10508155822753906,0.11499238014221191,0.11812376976013184,0.10018658638000488,0.12794733047485352,0.027760744094848633,0.11587381362915039,0.1382913589477539,0.022417545318603516,0.09116196632385254
s060,5,18,0.08247113227844238,0.25543212890625,0.17296099662780762,0.0775454044342041,0.10811591148376465,0.030570507049560547,0.07906389236450195,0.08563399314880371,0.006570100784301758,0.09512448310852051,0.20428991317749023,0.10916543006896973,0.08971643447875977,0.33495235443115234,0.24523591995239258,0.22024822235107422,0.370042085647583,0.1497938632965088,0.08283257484436035,0.23262643814086914,0.09484553337097168,0.1011347770690918,0.11012077331542969,0.00898599624633789,0.10589075088500977,0.11600017547607422,0.010109424591064453,0.10503721237182617,0.14771413803100586,0.04267692565917969,0.07432961463928223
s060,5,19,0.08473658561706543,0.2418973445892334,0.15716075897216797,0.08577823638916016,0.1215369701385498,0.03575873374938965,0.07702755928039551,0.08106446266174316,0.004036903381347656,0.1062464714050293,0.21210789680480957,0.10586142539978027,0.08543968200683594,0.3214285373687744,0.23598885536193848,0.1970207691192627,0.2657196521759033,0.06869888305664062,0.0980384349822998,0.10103893280029297,0.003000497817993164,0.12678766250610352,0.15186500549316406,0.025077342987060547,0.09982490539550781,0.10982537269592285,0.010000467300415039,0.0966634750366211,0.1815049648284912,0.08484148979187012,0.06356000900268555
s060,5,20,0.10125946998596191,0.3366062641143799,0.23534679412841797,0.08022689819335938,0.09868097305297852,0.01845407485961914,0.09988617897033691,0.12680482864379883,0.026918649673461914,0.06283307075500488,0.3885507583618164,0.3257176876068115,0.07658028602600098,0.334475040435791,0.25789475440979004,0.21257495880126953,0.24695253372192383,0.0343775749206543,0.11929678916931152,0.15367436408996582,0.1318676471710205,0.10405397415161133,0.09148311614990234,0.10753846168518066,0.07411050796508789,0.12754487991333008,0.05343437194824219,0.08741235733032227,1.0665841102600098,0.9791717529296875,0.07219195365905762
s060,5,21,0.09435868263244629,0.33178067207336426,0.23742198944091797,0.09450006484985352,0.3319220542907715,0.09450006484985352,0.0885918140411377,0.10044240951538086,0.011850595474243164,0.06983685493469238,0.21127676963806152,0.14143991470336914,0.07760286331176758,0.3968775272369385,0.3192746639251709,0.20238423347473145,0.24235153198242188,0.03996729850769043,0.10390782356262207,0.11186861991882324,0.007960796356201172,0.10158491134643555,0.10954570770263672,0.12439465522766113,0.07811713218688965,0.14400315284729004,0.06588602066040039,0.08060646057128906,0.10645127296447754,0.025844812393188477,0.07237911224365234
s060,5,22,0.10065293312072754,0.3085200786590576,0.20786714553833008,0.07282114028930664,0.08894228935241699,0.01612114906311035,0.10239911079406738,0.11852145195007324,0.01612234115600586,0.05819296836853027,0.16892170906066895,0.11072874069213867,0.08530282974243164,0.3228282928466797,0.23752546310424805,0.18515539169311523,0.25414228439331055,0.06898689270019531,0.10337448120117188,0.1723613739013672,0.11758542060852051,0.08616232872009277,0.09763836860656738,0.01147603988647461,0.09044289588928223,0.13273930549621582,0.042296409606933594,0.07510161399841309,0.14210796356201172,0.06700634956359863,0.052921295166015625
s060,5,23,0.04657292366027832,0.23706936836242676,0.19049644470214844,0.08189892768859863,0.11221575736999512,0.030316829681396484,0.06464242935180664,0.09080910682678223,0.026166677474975586,0.08239316940307617,0.19687271118164062,0.11447954177856445,0.08827447891235352,0.38881635665893555,0.30054187774658203,0.20079755783081055,0.23000526428222656,0.029207706451416016,0.1258854866027832,0.12787771224975586,0.0019922256469726562,0.07432174682617188,0.07631397247314453,0.09034991264343262,0.09011197090148926,0.15067839622497559,0.06056642532348633,0.08959269523620605,0.11612987518310547,0.026537179946899414,0.08207368850708008
s060,5,24,0.09032249450683594,0.24810457229614258,0.15778207778930664,0.08563017845153809,0.10084986686706543,0.015219688415527344,0.08203315734863281,0.0911109447479248,0.009077787399291992,0.1276843547821045,0.24742531776428223,0.11974096298217773,0.09376311302185059,0.34134864807128906,0.24758553504943848,0.23441290855407715,0.2605743408203125,0.02616143226623535,0.1186070442199707,0.14476847648620605,0.13161110877990723,0.08419418334960938,0.11019706726074219,0.026002883911132812,0.1025693416595459,0.11083769798278809,0.008268356323242188,0.07790827751159668,0.18210625648498535,0.10419797897338867,0.08381843566894531
